textID,sortedAnswerList
68_2,4
68_3,4
68_4,-1
68_5,-1
69_1,4
69_2,-1
69_3,4 36
69_4,4
69_5,-1
70_1,9
70_2,17
70_3,-1
70_4,9 17
70_5,-1
71_1,14
71_2,-1
71_3,-1
71_4,-1
71_5,-1
72_1,9
72_2,-1
72_3,-1
72_4,9
72_5,-1
73_1,-1
73_2,4
73_3,4
73_4,23
73_5,4
74_1,9
74_2,9 23
74_3,23
74_4,51
74_5,9 23 51
75_1,8
75_2,-1
75_3,-1
75_4,-1
75_5,-1
76_1,9
76_2,9
76_3,-1
76_4,-1
76_5,-1
77_1,14
77_2,-1
77_3,-1
77_4,-1
77_5,-1
78_1,9
78_2,-1
78_3,9 33
78_4,9 33
78_5,-1
79_1,14
79_2,14
79_3,-1
79_4,-1
79_5,-1
80_1,4
80_2,-1
80_3,8
80_4,4
80_5,4 30
81_1,4
81_2,4
81_3,4
81_4,17
81_5,4
82_1,9
82_2,22
82_3,-1
82_4,-1
82_5,9
83_1,4
83_2,22
83_3,-1
83_4,4 22
83_5,-1
84_1,29
84_2,-1
84_3,-1
84_4,29
84_5,29 55 68
85_1,9
85_2,-1
85_3,-1
85_4,-1
85_5,-1
86_1,9
86_2,-1
86_3,-1
86_4,-1
86_5,-1
87_1,9
87_2,-1
87_3,9
87_4,-1
87_5,-1
88_1,4
88_2,-1
88_3,17
88_4,4
88_5,-1
89_1,4
89_2,4
89_3,17
89_4,17
89_5,17 58
90_1,-1
90_2,4
90_3,4
90_4,50
90_5,50
91_1,9
91_2,-1
91_3,30
91_4,30
91_5,30
92_1,9
92_2,17
92_3,17
92_4,-1
92_5,17
93_1,4
93_2,4
93_3,-1
93_4,4 62
93_5,-1
94_1,4
94_2,-1
94_3,8
94_4,-1
94_5,-1
95_1,19
95_2,-1
95_3,-1
95_4,-1
95_5,-1
96_1,4
96_2,17
96_3,-1
96_4,-1
96_5,17
97_1,9
97_2,9
97_3,9
97_4,-1
97_5,9 63
98_1,29
98_2,29
98_3,-1
98_4,-1
98_5,-1
99_1,-1
99_2,16
99_3,16
99_4,-1
99_5,-1
100_1,4
100_2,-1
100_3,-1
100_4,4
100_5,17
101_1,9
101_2,-1
101_3,-1
101_4,64
101_5,64
102_1,9
102_2,9
102_3,-1
102_4,-1
102_5,-1
103_1,4
103_2,-1
103_3,4
103_4,-1
103_5,8 16
104_1,8
104_2,8
104_3,-1
104_4,21
104_5,-1
105_1,9
105_2,-1
105_3,-1
105_4,9
105_5,36
106_1,4 8
106_2,21
106_3,-1
106_4,-1
106_5,21
107_1,4
107_2,4
107_3,4
107_4,4
107_5,4
108_1,14
108_2,14
108_3,14 22 53
108_4,14 22
108_5,22 53
109_1,-1
109_2,4
109_3,4
109_4,31
109_5,-1
110_1,9
110_2,17
110_3,9
110_4,9
110_5,17 43
111_1,9
111_2,-1
111_3,-1
111_4,-1
111_5,-1
112_1,4
112_2,4
112_3,-1
112_4,36
112_5,-1
113_1,4
113_2,22
113_3,4
113_4,-1
113_5,22
114_1,-1
114_2,-1
114_3,-1
114_4,30
114_5,-1
115_1,4
115_2,-1
115_3,-1
115_4,-1
115_5,-1
116_1,4
116_2,-1
116_3,4
116_4,-1
116_5,-1
117_1,-1
117_2,-1
117_3,-1
117_4,4
117_5,4
118_1,9
118_2,22
118_3,9 30
118_4,-1
118_5,-1
119_1,4 8
119_2,-1
119_3,4
119_4,4
119_5,4 54
120_1,54
120_2,54
120_3,54
120_4,54 105
120_5,105 109
121_1,8
121_2,-1
121_3,4 8
121_4,-1
121_5,4
122_1,4
122_2,-1
122_3,-1
122_4,-1
122_5,59
123_1,4
123_2,8
123_3,-1
123_4,4
123_5,4
124_1,8
124_2,4 8
124_3,-1
124_4,-1
124_5,-1
125_1,4
125_2,-1
125_3,-1
125_4,-1
125_5,-1
126_1,29
126_2,29
126_3,55
126_4,29 55
126_5,-1
127_1,14
127_2,-1
127_3,-1
127_4,-1
127_5,-1
128_1,9
128_2,9
128_3,9 31
128_4,-1
128_5,-1
129_1,8
129_2,4
129_3,8
129_4,8 48
129_5,-1
130_1,8
130_2,-1
130_3,4 8
130_4,4 8
130_5,-1
131_1,4 8
131_2,-1
131_3,-1
131_4,-1
131_5,-1
132_1,14
132_2,-1
132_3,-1
132_4,-1
132_5,-1
133_1,4 8
133_2,21
133_3,4
133_4,4
133_5,21
134_1,8
134_2,8
134_3,-1
134_4,-1
134_5,-1
135_1,19
135_2,-1
135_3,-1
135_4,-1
135_5,-1
136_1,9
136_2,-1
136_3,-1
136_4,-1
136_5,-1
137_1,4
137_2,4 21
137_3,4 21
137_4,8
137_5,8
138_1,4
138_2,-1
138_3,4 17
138_4,17
138_5,17
139_1,29
139_2,29
139_3,-1
139_4,29
139_5,-1
140_1,14
140_2,14
140_3,14 22
140_4,22
140_5,22
141_1,-1
141_2,16 20
141_3,16 20
141_4,-1
141_5,-1
142_1,4
142_2,4
142_3,-1
142_4,-1
142_5,-1
143_1,14
143_2,14
143_3,14
143_4,-1
143_5,-1
144_1,9
144_2,9
144_3,9
144_4,-1
144_5,-1
145_1,4 8
145_2,-1
145_3,22
145_4,-1
145_5,-1
146_1,9
146_2,9
146_3,-1
146_4,-1
146_5,-1
147_1,8
147_2,4
147_3,4
147_4,8 29
147_5,29
148_1,9
148_2,9
148_3,9
148_4,9
148_5,59
149_1,9
149_2,17
149_3,9
149_4,-1
149_5,-1
150_1,9
150_2,9
150_3,-1
150_4,-1
150_5,-1
151_1,-1
151_2,-1
151_3,-1
151_4,-1
151_5,-1
152_1,4
152_2,4 21
152_3,4
152_4,-1
152_5,-1
153_1,8
153_2,-1
153_3,-1
153_4,35
153_5,-1
154_1,14
154_2,14
154_3,14
154_4,-1
154_5,-1
155_1,4
155_2,-1
155_3,-1
155_4,-1
155_5,-1
156_1,9
156_2,-1
156_3,-1
156_4,49
156_5,-1
157_1,14
157_2,-1
157_3,-1
157_4,-1
157_5,47
158_1,4
158_2,4
158_3,8
158_4,4
158_5,-1
159_1,9
159_2,17
159_3,17
159_4,9
159_5,17
160_1,9
160_2,9
160_3,9 31
160_4,9 31
160_5,44
161_1,14
161_2,-1
161_3,-1
161_4,42
161_5,14
162_1,-1
162_2,-1
162_3,4
162_4,-1
162_5,-1
163_1,4
163_2,4
163_3,-1
163_4,-1
163_5,-1
164_1,4
164_2,-1
164_3,-1
164_4,4
164_5,-1
165_1,-1
165_2,4
165_3,-1
165_4,4 44
165_5,-1
166_1,9
166_2,9
166_3,-1
166_4,-1
166_5,-1
167_1,49
167_2,49
167_3,-1
167_4,-1
167_5,-1
168_1,14
168_2,-1
168_3,-1
168_4,-1
168_5,14
169_1,19
169_2,-1
169_3,19 46
169_4,19 46
169_5,19 46
170_1,31
170_2,-1
170_3,31
170_4,-1
170_5,-1
171_1,4
171_2,4 21
171_3,-1
171_4,4
171_5,4 21
172_1,29
172_2,29
172_3,54
172_4,-1
172_5,-1
173_1,8
173_2,-1
173_3,-1
173_4,4
173_5,4
174_1,-1
174_2,-1
174_3,-1
174_4,-1
174_5,-1
175_1,9
175_2,-1
175_3,-1
175_4,-1
175_5,-1
176_1,9
176_2,9
176_3,9 17
176_4,-1
176_5,-1
177_1,9
177_2,-1
177_3,-1
177_4,-1
177_5,-1
178_1,4 8
178_2,-1
178_3,-1
178_4,-1
178_5,-1
179_1,4
179_2,-1
179_3,4 32
179_4,-1
179_5,-1
180_1,-1
180_2,-1
180_3,4
180_4,4 45
180_5,45
181_1,19
181_2,-1
181_3,-1
181_4,-1
181_5,74
182_1,9
182_2,9
182_3,36
182_4,-1
182_5,-1
183_1,4
183_2,4
183_3,4 31
183_4,4
183_5,31
184_1,14
184_2,-1
184_3,41
184_4,-1
184_5,-1
185_1,8
185_2,-1
185_3,-1
185_4,4 8 62
185_5,8 62
186_1,9
186_2,9 22
186_3,-1
186_4,-1
186_5,-1
187_1,8
187_2,4 8
187_3,35
187_4,-1
187_5,-1
188_1,9
188_2,-1
188_3,-1
188_4,-1
188_5,9
189_1,4
189_2,4
189_3,4
189_4,-1
189_5,-1
190_1,14
190_2,-1
190_3,-1
190_4,14 28
190_5,14
191_1,9
191_2,9
191_3,-1
191_4,-1
191_5,-1
192_1,19
192_2,-1
192_3,19 32
192_4,-1
192_5,19
193_1,9
193_2,9 17
193_3,9 17
193_4,9 17
193_5,17
194_1,4
194_2,4
194_3,-1
194_4,-1
194_5,-1
195_1,8
195_2,16
195_3,16
195_4,8
195_5,-1
196_1,4
196_2,-1
196_3,-1
196_4,-1
196_5,-1
197_1,14
197_2,-1
197_3,-1
197_4,-1
197_5,-1
198_1,9
198_2,-1
198_3,36
198_4,-1
198_5,-1
199_1,9
199_2,9 17
199_3,34
199_4,-1
199_5,-1
200_1,9
200_2,-1
200_3,-1
200_4,-1
200_5,59
201_1,9
201_2,-1
201_3,-1
201_4,-1
201_5,-1
202_1,4
202_2,-1
202_3,-1
202_4,-1
202_5,64
203_1,29
203_2,29
203_3,29
203_4,29
203_5,29
204_1,4 8
204_2,16
204_3,-1
204_4,16
204_5,-1
205_1,4
205_2,17
205_3,-1
205_4,-1
205_5,-1
206_1,8
206_2,-1
206_3,-1
206_4,-1
206_5,-1
207_1,-1
207_2,4
207_3,-1
207_4,-1
207_5,-1
208_1,4
208_2,-1
208_3,-1
208_4,-1
208_5,-1
209_1,14
209_2,-1
209_3,14
209_4,14
209_5,14
210_1,9
210_2,-1
210_3,-1
210_4,-1
210_5,-1
211_1,9
211_2,9
211_3,9
211_4,-1
211_5,-1
212_1,4
212_2,-1
212_3,-1
212_4,-1
212_5,-1
213_1,-1
213_2,4
213_3,-1
213_4,4
213_5,45
214_1,8
214_2,-1
214_3,8
214_4,-1
214_5,-1
215_1,8
215_2,8
215_3,-1
215_4,-1
215_5,-1
216_1,-1
216_2,-1
216_3,16
216_4,16
216_5,-1
217_1,8
217_2,8
217_3,4
217_4,-1
217_5,-1
218_1,4
218_2,23
218_3,-1
218_4,46
218_5,4
219_1,44
219_2,44
219_3,-1
219_4,-1
219_5,-1
220_1,-1
220_2,4
220_3,4
220_4,4
220_5,-1
221_1,9
221_2,22
221_3,-1
221_4,-1
221_5,-1
222_1,9
222_2,9
222_3,-1
222_4,-1
222_5,-1
223_1,4
223_2,-1
223_3,-1
223_4,-1
223_5,-1
224_1,4
224_2,-1
224_3,-1
224_4,46
224_5,4
225_1,9
225_2,9
225_3,9
225_4,9 49
225_5,49
226_1,4
226_2,4
226_3,-1
226_4,17 50
226_5,-1
227_1,19
227_2,19
227_3,-1
227_4,-1
227_5,73
228_1,9
228_2,9
228_3,-1
228_4,9 45
228_5,-1
229_1,9
229_2,-1
229_3,-1
229_4,-1
229_5,9
230_1,8
230_2,-1
230_3,4 8 34
230_4,-1
230_5,-1
231_1,4
231_2,4
231_3,-1
231_4,-1
231_5,-1
232_1,9
232_2,-1
232_3,-1
232_4,-1
232_5,-1
233_1,9
233_2,9
233_3,-1
233_4,-1
233_5,-1
234_1,8
234_2,-1
234_3,-1
234_4,-1
234_5,-1
235_1,34
235_2,34 42
235_3,34 42
235_4,42
235_5,-1
236_1,-1
236_2,-1
236_3,-1
236_4,34
236_5,34
237_1,34
237_2,34 47
237_3,-1
237_4,47
237_5,-1
238_1,9
238_2,9 17
238_3,-1
238_4,9
238_5,-1
239_1,19
239_2,-1
239_3,19
239_4,-1
239_5,-1
240_1,4
240_2,4 22
240_3,4 22
240_4,22
240_5,-1
241_1,9
241_2,17
241_3,-1
241_4,-1
241_5,9 49
242_1,14
242_2,14
242_3,14
242_4,-1
242_5,-1
243_1,9
243_2,-1
243_3,-1
243_4,-1
243_5,-1
244_1,9
244_2,-1
244_3,-1
244_4,-1
244_5,-1
245_1,9
245_2,9
245_3,36
245_4,-1
245_5,-1
246_1,14
246_2,-1
246_3,-1
246_4,-1
246_5,-1
247_1,9
247_2,-1
247_3,37
247_4,-1
247_5,-1
248_1,19
248_2,19
248_3,19 27
248_4,19
248_5,19
249_1,4
249_2,17
249_3,-1
249_4,-1
249_5,-1
250_1,4
250_2,-1
250_3,4
250_4,4
250_5,4
251_1,9
251_2,9
251_3,9 31
251_4,-1
251_5,-1
252_1,9
252_2,9
252_3,9
252_4,9
252_5,-1
253_1,14
253_2,-1
253_3,-1
253_4,-1
253_5,14 63
254_1,-1
254_2,4
254_3,-1
254_4,-1
254_5,4
255_1,19
255_2,-1
255_3,19
255_4,19
255_5,19
256_1,14
256_2,-1
256_3,14
256_4,14
256_5,14
257_1,-1
257_2,4 22
257_3,-1
257_4,-1
257_5,4
258_1,4
258_2,-1
258_3,-1
258_4,4 45
258_5,-1
259_1,9
259_2,9 22
259_3,9 22
259_4,9 22
259_5,22
260_1,9
260_2,-1
260_3,-1
260_4,-1
260_5,-1
261_1,8
261_2,-1
261_3,-1
261_4,-1
261_5,8 16
262_1,4
262_2,-1
262_3,-1
262_4,4
262_5,-1
263_1,4
263_2,21
263_3,-1
263_4,-1
263_5,-1
264_1,9
264_2,-1
264_3,32
264_4,-1
264_5,32
265_1,9
265_2,-1
265_3,9
265_4,9
265_5,9
266_1,9
266_2,17
266_3,-1
266_4,-1
266_5,-1
267_1,4
267_2,-1
267_3,-1
267_4,-1
267_5,-1
268_1,-1
268_2,-1
268_3,-1
268_4,-1
268_5,-1
269_1,4
269_2,-1
269_3,22
269_4,22
269_5,4
270_1,69
270_2,69
270_3,69
270_4,-1
270_5,-1
271_1,8
271_2,4
271_3,-1
271_4,8
271_5,-1
272_1,8
272_2,21
272_3,-1
272_4,21
272_5,21
273_1,14
273_2,14
273_3,-1
273_4,-1
273_5,-1
274_1,14
274_2,14
274_3,14
274_4,14 49
274_5,14
275_1,14
275_2,14
275_3,-1
275_4,-1
275_5,14
276_1,9
276_2,17 21
276_3,17 21
276_4,-1
276_5,-1
277_1,9
277_2,9
277_3,-1
277_4,9
277_5,-1
278_1,-1
278_2,18
278_3,-1
278_4,-1
278_5,-1
279_1,9
279_2,9
279_3,-1
279_4,-1
279_5,-1
280_1,14
280_2,14 22
280_3,22
280_4,22
280_5,22
281_1,8
281_2,-1
281_3,8
281_4,-1
281_5,-1
282_1,4
282_2,-1
282_3,-1
282_4,-1
282_5,-1
283_1,-1
283_2,16
283_3,16 35
283_4,-1
283_5,-1
284_1,4 8
284_2,4 8
284_3,-1
284_4,-1
284_5,-1
285_1,9
285_2,-1
285_3,9 36
285_4,9 36
285_5,36
286_1,14
286_2,14
286_3,41
286_4,-1
286_5,-1
287_1,14
287_2,27
287_3,14
287_4,-1
287_5,-1
288_1,24
288_2,24
288_3,24 50
288_4,24 50
288_5,24 50
289_1,9
289_2,9
289_3,-1
289_4,45
289_5,9
290_1,64
290_2,64
290_3,-1
290_4,-1
290_5,-1
291_1,14
291_2,14
291_3,-1
291_4,-1
291_5,-1
292_1,4
292_2,8 16
292_3,-1
292_4,-1
292_5,-1
293_1,4
293_2,-1
293_3,4
293_4,4
293_5,-1
294_1,-1
294_2,18
294_3,4 18
294_4,4
294_5,-1
295_1,14
295_2,14
295_3,14
295_4,-1
295_5,-1
296_1,-1
296_2,16
296_3,-1
296_4,4 16 41
296_5,-1
297_1,4 8
297_2,-1
297_3,31
297_4,31
297_5,-1
298_1,9
298_2,9 23
298_3,9 23
298_4,9
298_5,-1
299_1,4
299_2,4
299_3,-1
299_4,-1
299_5,-1
300_1,4
300_2,22
300_3,22
300_4,22
300_5,-1
301_1,19
301_2,-1
301_3,-1
301_4,-1
301_5,-1
302_1,14
302_2,14
302_3,14 36
302_4,-1
302_5,36
303_1,29
303_2,29 37
303_3,29 37
303_4,29 37
303_5,29
304_1,4
304_2,8
304_3,-1
304_4,-1
304_5,-1
305_1,4
305_2,-1
305_3,-1
305_4,-1
305_5,-1
306_1,14
306_2,14
306_3,14
306_4,14 55
306_5,14 55
307_1,9
307_2,9
307_3,-1
307_4,-1
307_5,-1
308_1,-1
308_2,4
308_3,4
308_4,-1
308_5,-1
309_1,9
309_2,9 17
309_3,-1
309_4,-1
309_5,-1
310_1,34
310_2,34
310_3,-1
310_4,-1
310_5,-1
311_1,4
311_2,-1
311_3,4
311_4,4
311_5,-1
312_1,4
312_2,4
312_3,-1
312_4,-1
312_5,-1
313_1,29
313_2,41
313_3,-1
313_4,-1
313_5,-1
314_1,14
314_2,14
314_3,35
314_4,22
314_5,-1
315_1,9
315_2,9
315_3,9
315_4,-1
315_5,-1
316_1,8
316_2,-1
316_3,4
316_4,4 44
316_5,-1
317_1,-1
317_2,-1
317_3,-1
317_4,-1
317_5,-1
318_1,44
318_2,44 57
318_3,-1
318_4,-1
318_5,44 57
319_1,9
319_2,9
319_3,-1
319_4,-1
319_5,-1
320_1,9
320_2,9
320_3,-1
320_4,-1
320_5,9 36 58
321_1,9
321_2,9
321_3,9
321_4,-1
321_5,-1
322_1,9
322_2,9
322_3,-1
322_4,-1
322_5,-1
323_1,9
323_2,9 22
323_3,-1
323_4,-1
323_5,-1
324_1,9
324_2,-1
324_3,-1
324_4,-1
324_5,-1
325_1,9
325_2,22
325_3,22
325_4,-1
325_5,9
326_1,19
326_2,19
326_3,19
326_4,53
326_5,53
327_1,4
327_2,-1
327_3,-1
327_4,4 44
327_5,4 44
328_1,4
328_2,-1
328_3,-1
328_4,-1
328_5,-1
329_1,9
329_2,9
329_3,-1
329_4,-1
329_5,-1
330_1,4
330_2,17
330_3,-1
330_4,-1
330_5,-1
331_1,9
331_2,9 22
331_3,9 22
331_4,9
331_5,22
332_1,9
332_2,-1
332_3,-1
332_4,45
332_5,-1
333_1,34
333_2,34
333_3,34
333_4,-1
333_5,-1
334_1,9
334_2,9
334_3,-1
334_4,31 35
334_5,9
335_1,-1
335_2,4
335_3,4 23
335_4,4 23
335_5,-1
336_1,9
336_2,-1
336_3,-1
336_4,9
336_5,48
337_1,9
337_2,9
337_3,-1
337_4,-1
337_5,-1
338_1,9
338_2,22
338_3,-1
338_4,22
338_5,9
339_1,9
339_2,-1
339_3,-1
339_4,9
339_5,-1
340_1,4
340_2,-1
340_3,-1
340_4,-1
340_5,-1
341_1,34
341_2,-1
341_3,-1
341_4,-1
341_5,-1
342_1,4
342_2,-1
342_3,-1
342_4,-1
342_5,-1
343_1,4
343_2,17
343_3,-1
343_4,-1
343_5,-1
344_1,4
344_2,4
344_3,-1
344_4,-1
344_5,-1
345_1,8
345_2,4
345_3,8 21
345_4,8 21
345_5,8 21
346_1,9
346_2,9
346_3,-1
346_4,-1
346_5,-1
347_1,4
347_2,-1
347_3,-1
347_4,-1
347_5,-1
348_1,-1
348_2,4
348_3,22
348_4,4 30
348_5,4
349_1,9
349_2,-1
349_3,-1
349_4,-1
349_5,-1
350_1,4
350_2,22
350_3,-1
350_4,-1
350_5,-1
351_1,9
351_2,9
351_3,-1
351_4,-1
351_5,-1
352_1,4
352_2,-1
352_3,-1
352_4,-1
352_5,31
353_1,14
353_2,14 27
353_3,-1
353_4,14
353_5,14
354_1,-1
354_2,18
354_3,18
354_4,18
354_5,4 31
355_1,9
355_2,-1
355_3,-1
355_4,43
355_5,-1
356_1,8
356_2,4
356_3,-1
356_4,4
356_5,-1
357_1,-1
357_2,4
357_3,-1
357_4,-1
357_5,-1
358_1,9
358_2,17
358_3,9 17
358_4,17
358_5,-1
359_1,9
359_2,9
359_3,-1
359_4,-1
359_5,-1
360_1,9
360_2,17
360_3,-1
360_4,-1
360_5,-1
361_1,4
361_2,-1
361_3,-1
361_4,50
361_5,-1
362_1,4
362_2,4
362_3,-1
362_4,-1
362_5,-1
363_1,-1
363_2,4 21
363_3,4
363_4,4
363_5,-1
364_1,4
364_2,4 17
364_3,17
364_4,-1
364_5,-1
365_1,4
365_2,-1
365_3,17
365_4,17
365_5,-1
366_1,4 8
366_2,-1
366_3,-1
366_4,4 8
366_5,8
367_1,4
367_2,-1
367_3,-1
367_4,44
367_5,-1
368_1,4
368_2,4
368_3,-1
368_4,-1
368_5,59
369_1,4
369_2,-1
369_3,-1
369_4,-1
369_5,-1
370_1,8
370_2,8
370_3,4
370_4,-1
370_5,-1
371_1,4
371_2,21
371_3,-1
371_4,-1
371_5,21
372_1,14
372_2,-1
372_3,14
372_4,-1
372_5,-1
373_1,54
373_2,-1
373_3,54
373_4,54
373_5,54
374_1,4
374_2,8
374_3,-1
374_4,-1
374_5,8 59
375_1,-1
375_2,4
375_3,-1
375_4,-1
375_5,-1
376_1,9
376_2,9
376_3,9
376_4,-1
376_5,-1
377_1,9
377_2,-1
377_3,9
377_4,-1
377_5,-1
378_1,14
378_2,-1
378_3,14
378_4,-1
378_5,14
379_1,4
379_2,-1
379_3,-1
379_4,-1
379_5,4
380_1,4 8
380_2,-1
380_3,-1
380_4,-1
380_5,8
381_1,29
381_2,-1
381_3,-1
381_4,29 56
381_5,-1
382_1,9
382_2,9
382_3,-1
382_4,9
382_5,-1
383_1,14
383_2,-1
383_3,14
383_4,-1
383_5,-1
384_1,9
384_2,-1
384_3,-1
384_4,-1
384_5,-1
385_1,4
385_2,17
385_3,21
385_4,21
385_5,-1
386_1,19
386_2,19
386_3,-1
386_4,-1
386_5,-1
387_1,24
387_2,-1
387_3,-1
387_4,-1
387_5,-1
388_1,4
388_2,4
388_3,8
388_4,-1
388_5,-1
389_1,19
389_2,19 27
389_3,-1
389_4,-1
389_5,-1
390_1,9
390_2,9
390_3,-1
390_4,-1
390_5,-1
391_1,4
391_2,-1
391_3,-1
391_4,-1
391_5,4 36
392_1,29
392_2,29
392_3,29
392_4,29
392_5,-1
393_1,34
393_2,-1
393_3,-1
393_4,-1
393_5,-1
394_1,8
394_2,4 8
394_3,4 8
394_4,8
394_5,-1
395_1,-1
395_2,23
395_3,23
395_4,23
395_5,23
396_1,4
396_2,4
396_3,-1
396_4,44
396_5,44
397_1,-1
397_2,4 21
397_3,21
397_4,-1
397_5,-1
398_1,19
398_2,19 32
398_3,19
398_4,-1
398_5,-1
399_1,14
399_2,14
399_3,-1
399_4,-1
399_5,-1
400_1,9
400_2,9
400_3,9
400_4,9
400_5,-1
401_1,14
401_2,14 22
401_3,14 22
401_4,14
401_5,14
402_1,19
402_2,-1
402_3,-1
402_4,-1
402_5,-1
403_1,9
403_2,9
403_3,-1
403_4,-1
403_5,9
404_1,29
404_2,-1
404_3,-1
404_4,-1
404_5,29
405_1,-1
405_2,-1
405_3,-1
405_4,31
405_5,-1
406_1,9
406_2,9 17
406_3,17
406_4,-1
406_5,-1
407_1,9
407_2,17
407_3,17
407_4,-1
407_5,-1
408_1,4
408_2,-1
408_3,-1
408_4,-1
408_5,-1
409_1,-1
409_2,4
409_3,4 34
409_4,-1
409_5,17 34
410_1,9
410_2,9
410_3,-1
410_4,-1
410_5,-1
411_1,9
411_2,9
411_3,-1
411_4,-1
411_5,-1
412_1,4
412_2,-1
412_3,-1
412_4,-1
412_5,-1
413_1,8
413_2,-1
413_3,8
413_4,-1
413_5,8
414_1,8
414_2,4 8
414_3,-1
414_4,8
414_5,-1
415_1,4
415_2,-1
415_3,-1
415_4,-1
415_5,64
416_1,-1
416_2,-1
416_3,4
416_4,4
416_5,-1
417_1,9
417_2,9
417_3,9
417_4,-1
417_5,-1
418_1,19
418_2,-1
418_3,-1
418_4,19
418_5,-1
419_1,24
419_2,24
419_3,24
419_4,-1
419_5,-1
420_1,-1
420_2,4
420_3,-1
